# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"Time (s)","Peak-Frequency"
2.275765901E1,4.687500000E1
2.280032567E1,4.218750000E2
2.284299234E1,4.218750000E2
2.288565901E1,4.687500000E1
2.292832567E1,2.343750000E1
2.297099234E1,4.687500000E1
2.301365901E1,3.046875000E2
2.305632567E1,4.687500000E1
2.309899234E1,2.343750000E1
2.314165901E1,2.343750000E1
2.318432567E1,2.343750000E1
2.322699234E1,2.343750000E1
2.326965901E1,2.343750000E1
2.331232567E1,2.343750000E1
2.335499234E1,2.343750000E1
2.339765901E1,2.343750000E1
2.344761702E1,4.687500000E1
2.349028369E1,4.453125000E2
2.353295036E1,2.343750000E1
2.357561702E1,5.390625000E2
2.361828369E1,5.625000000E2
2.366095036E1,5.625000000E2
2.370361702E1,2.343750000E1
2.374628369E1,2.343750000E1
2.378895036E1,2.343750000E1
2.383161702E1,2.343750000E1
2.387428369E1,4.687500000E1
2.391695036E1,2.578125000E2
2.395961702E1,4.687500000E1
2.400228369E1,4.687500000E1
2.404495036E1,2.343750000E1
2.408761702E1,2.343750000E1
2.413028369E1,2.343750000E1
2.417295036E1,2.343750000E1
2.421561702E1,2.343750000E1
2.425828369E1,2.343750000E1
2.430095036E1,4.687500000E1
2.434361702E1,2.343750000E1
2.438628369E1,2.343750000E1
2.442895036E1,4.687500000E1
2.447161702E1,2.343750000E1
2.451428369E1,4.687500000E1
2.455695036E1,2.343750000E1
2.459961702E1,2.343750000E1
2.464228369E1,2.343750000E1
2.468495036E1,4.687500000E1
2.472761702E1,4.687500000E1
2.477028369E1,2.343750000E1
2.481295036E1,2.343750000E1
2.485561702E1,4.687500000E1
2.489828369E1,2.343750000E1
2.494095036E1,2.343750000E1
2.498361702E1,4.687500000E1
2.502628369E1,2.343750000E1
2.506895036E1,2.343750000E1
2.511161702E1,2.343750000E1
2.515428369E1,2.343750000E1
2.519695036E1,2.343750000E1
2.523961702E1,4.687500000E1
2.528228369E1,2.343750000E1
2.532495036E1,2.343750000E1
2.536761702E1,4.921875000E2
2.541028369E1,2.343750000E1
2.545295036E1,2.343750000E1
2.549561702E1,2.343750000E1
2.553828369E1,2.343750000E1
2.558095036E1,2.343750000E1
2.562361702E1,4.687500000E1
2.566628369E1,2.343750000E2
2.570895036E1,8.671875000E2
2.575161702E1,4.687500000E1
2.579428369E1,2.343750000E1
2.583695036E1,2.343750000E1
2.587961702E1,2.343750000E1
2.592228369E1,2.343750000E1
2.596495036E1,2.343750000E2
2.600761702E1,4.687500000E1
2.605028369E1,4.921875000E2
2.609295036E1,4.687500000E1
2.613561702E1,2.343750000E1
2.617828369E1,4.687500000E1
