"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.240077100E0,-6.140465736E-1,4.873719215E-1,1.315002441E0
1.245077100E0,-6.005380154E-1,5.218076706E-1,1.432754040E0
1.250077100E0,-6.287069321E-1,5.079197884E-1,1.468716621E0
1.255077100E0,-8.523182869E-1,3.856573105E-1,1.483305454E0
1.260077100E0,-1.258880377E0,2.087740898E-1,1.430428982E0
1.265077100E0,-1.406805038E0,1.428165436E-1,1.385640144E0
1.270077100E0,-1.207092285E0,2.316794395E-1,1.326398373E0
1.275077100E0,-8.899080753E-1,3.622364998E-1,1.286292553E0
1.280077100E0,-5.871071815E-1,4.682869911E-1,1.259525299E0
1.285077100E0,-2.956254482E-1,5.024547577E-1,1.269493103E0
1.290077100E0,6.734609604E-3,4.800062180E-1,1.206937790E0
1.295077100E0,2.281172276E-1,4.400320053E-1,1.025206566E0
1.300077100E0,3.763072491E-1,3.781242371E-1,8.082594872E-1
1.305077100E0,4.404101372E-1,3.418951035E-1,6.140999794E-1
1.310077100E0,4.305591583E-1,3.081598282E-1,4.296021461E-1
1.315077100E0,4.309024811E-1,2.571158409E-1,2.360305786E-1
1.320077100E0,4.207859039E-1,2.404003143E-1,5.961036682E-2
1.325077100E0,3.950884342E-1,2.293725014E-1,-7.363510132E-2
1.330077100E0,2.691748142E-1,2.424573898E-1,-1.247415543E-1
1.335077100E0,1.078634262E-1,2.548141479E-1,-1.207966805E-1
1.340077100E0,-1.824808121E-2,2.673621178E-1,-9.549140930E-2
1.345077100E0,-7.554554939E-2,2.596249580E-1,-8.155679703E-2
1.350077100E0,-9.135508537E-2,2.604355812E-1,-8.237123489E-2
1.355077100E0,-1.448762417E-1,2.399449348E-1,-1.052527428E-1
1.360077100E0,-3.502602577E-1,1.585273743E-1,-1.285090446E-1
1.365077100E0,-5.669879913E-1,6.725788116E-2,-2.038345337E-1
1.370077100E0,-5.592494011E-1,7.163047791E-2,-2.245373726E-1
