# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"Frequency (Hz)","Absolute Amplitude (a.u.)"
9.187500000E3,3.751047543E-2
9.210937500E3,2.447320846E-2
9.234375000E3,4.306575635E-2
9.257812500E3,2.718853725E-2
9.281250000E3,3.160381800E-2
9.304687500E3,3.631607673E-2
9.328125000E3,2.974085809E-2
9.351562500E3,3.248894203E-2
9.375000000E3,3.846032320E-2
9.398437500E3,2.792938842E-2
9.421875000E3,2.063867442E-2
9.445312500E3,3.427527347E-2
9.468750000E3,2.090693631E-2
9.492187500E3,3.033870534E-2
9.515625000E3,3.270294293E-2
9.539062500E3,3.076771055E-2
9.562500000E3,2.793904263E-2
9.585937500E3,3.640942937E-2
9.609375000E3,1.965554835E-2
9.632812500E3,2.378371080E-2
9.656250000E3,2.912113874E-2
9.679687500E3,3.784514642E-2
9.703125000E3,3.567577585E-2
9.726562500E3,2.669913930E-2
9.750000000E3,4.300452599E-2
9.773437500E3,2.790139630E-2
9.796875000E3,2.547360480E-2
9.820312500E3,2.737611473E-2
9.843750000E3,4.503961005E-2
9.867187500E3,4.237607396E-2
9.890625000E3,3.161100369E-2
9.914062500E3,3.368020299E-2
9.937500000E3,3.128202036E-2
9.960937500E3,1.925232818E-2
9.984375000E3,2.085698122E-2
1.000781250E4,3.720854225E-2
1.003125000E4,2.262785930E-2
1.005468750E4,2.183603812E-2
1.007812500E4,4.408245505E-2
1.010156250E4,3.769038858E-2
1.012500000E4,2.958313163E-2
1.014843750E4,3.089608107E-2
1.017187500E4,2.515828979E-2
1.019531250E4,4.295745156E-2
1.021875000E4,2.981872011E-2
1.024218750E4,2.879080664E-2
1.026562500E4,3.335658282E-2
1.028906250E4,2.887317361E-2
1.031250000E4,2.653878463E-2
1.033593750E4,3.861825729E-2
1.035937500E4,3.345372054E-2
1.038281250E4,2.580004313E-2
1.040625000E4,3.287708580E-2
1.042968750E4,3.810171751E-2
1.045312500E4,2.657116737E-2
1.047656250E4,2.994468906E-2
1.050000000E4,3.165201258E-2
1.052343750E4,3.518933315E-2
1.054687500E4,2.280776154E-2
1.057031250E4,3.370539647E-2
1.059375000E4,3.232707433E-2
1.061718750E4,2.309809156E-2
1.064062500E4,3.865550411E-2
1.066406250E4,2.386817940E-2
1.068750000E4,2.815878764E-2
1.071093750E4,3.246460338E-2
1.073437500E4,2.590913623E-2
1.075781250E4,2.995029312E-2
1.078125000E4,3.200067382E-2
1.080468750E4,2.116767492E-2
1.082812500E4,3.735066075E-2
1.085156250E4,2.066782701E-2
1.087500000E4,3.017079775E-2
1.089843750E4,3.512406325E-2
1.092187500E4,2.648675955E-2
1.094531250E4,3.071480351E-2
1.096875000E4,2.540750051E-2
1.099218750E4,2.477095378E-2
1.101562500E4,2.285339525E-2
1.103906250E4,2.752039062E-2
1.106250000E4,2.642088973E-2
1.108593750E4,2.432094112E-2
1.110937500E4,2.479862564E-2
1.113281250E4,2.808173749E-2
1.115625000E4,2.517430143E-2
1.117968750E4,3.631736654E-2
1.120312500E4,2.746919118E-2
1.122656250E4,3.372420506E-2
1.125000000E4,3.808627761E-2
1.127343750E4,2.010292199E-2
1.129687500E4,2.284045790E-2
1.132031250E4,3.141261465E-2
1.134375000E4,2.718111461E-2
1.136718750E4,2.871103708E-2
1.139062500E4,3.419815713E-2
1.141406250E4,2.612812491E-2
1.143750000E4,3.118374854E-2
1.146093750E4,3.289503994E-2
1.148437500E4,3.084865158E-2
1.150781250E4,2.638253859E-2
1.153125000E4,2.971636554E-2
1.155468750E4,3.435687030E-2
1.157812500E4,2.483801796E-2
1.160156250E4,3.258881206E-2
1.162500000E4,1.876586705E-2
1.164843750E4,3.133930687E-2
1.167187500E4,2.025646957E-2
1.169531250E4,2.777182048E-2
1.171875000E4,2.136506282E-2
1.174218750E4,2.797250570E-2
1.176562500E4,2.652528522E-2
1.178906250E4,2.735725334E-2
1.181250000E4,2.997806695E-2
1.183593750E4,2.009780519E-2
1.185937500E4,2.627969302E-2
1.188281250E4,2.759410154E-2
1.190625000E4,2.116469331E-2
1.192968750E4,2.746677208E-2
1.195312500E4,2.295780101E-2
1.197656250E4,2.311270220E-2
1.200000000E4,2.814991430E-2
1.202343750E4,2.653419993E-2
1.204687500E4,2.428903232E-2
1.207031250E4,2.738477188E-2
1.209375000E4,2.466032840E-2
1.211718750E4,2.877349198E-2
1.214062500E4,2.676646038E-2
1.216406250E4,2.967729234E-2
1.218750000E4,2.355450661E-2
1.221093750E4,2.461780192E-2
1.223437500E4,2.492803365E-2
1.225781250E4,2.961427666E-2
1.228125000E4,3.260982662E-2
1.230468750E4,2.981271204E-2
1.232812500E4,2.343376439E-2
1.235156250E4,3.178584355E-2
1.237500000E4,2.308017432E-2
1.239843750E4,2.235959081E-2
1.242187500E4,2.171118354E-2
1.244531250E4,2.596514774E-2
1.246875000E4,2.729086679E-2
1.249218750E4,2.630942356E-2
1.251562500E4,2.308278915E-2
1.253906250E4,2.574381718E-2
1.256250000E4,2.319219986E-2
1.258593750E4,2.430732541E-2
1.260937500E4,2.513343609E-2
1.263281250E4,2.325255597E-2
1.265625000E4,3.001487886E-2
1.267968750E4,2.797588128E-2
1.270312500E4,2.642599415E-2
1.272656250E4,2.694064175E-2
1.275000000E4,2.528156773E-2
1.277343750E4,2.676401566E-2
1.279687500E4,2.368621107E-2
1.282031250E4,2.766237396E-2
1.284375000E4,1.987445194E-2
1.286718750E4,1.751561940E-2
1.289062500E4,2.761855925E-2
1.291406250E4,2.337210141E-2
1.293750000E4,2.918956905E-2
1.296093750E4,3.202607242E-2
1.298437500E4,1.936075179E-2
1.300781250E4,2.715731142E-2
1.303125000E4,2.379102620E-2
1.305468750E4,2.416117124E-2
1.307812500E4,2.522572561E-2
1.310156250E4,2.457659675E-2
1.312500000E4,2.127857471E-2
1.314843750E4,1.914800696E-2
1.317187500E4,2.550265543E-2
1.319531250E4,2.616481378E-2
1.321875000E4,2.550010858E-2
1.324218750E4,2.281967104E-2
1.326562500E4,2.394943263E-2
1.328906250E4,2.106143228E-2
1.331250000E4,1.979692175E-2
1.333593750E4,2.475287031E-2
1.335937500E4,2.679637078E-2
1.338281250E4,3.057827830E-2
1.340625000E4,1.838739712E-2
1.342968750E4,2.541706307E-2
1.345312500E4,2.605881317E-2
1.347656250E4,2.091087452E-2
1.350000000E4,2.263540956E-2
1.352343750E4,2.358930594E-2
1.354687500E4,2.172964593E-2
1.357031250E4,2.737665803E-2
1.359375000E4,1.826088253E-2
1.361718750E4,2.264162305E-2
1.364062500E4,2.305648801E-2
1.366406250E4,2.317983703E-2
1.368750000E4,2.073879485E-2
1.371093750E4,2.543784276E-2
1.373437500E4,2.133090291E-2
1.375781250E4,2.256556148E-2
1.378125000E4,1.860911833E-2
1.380468750E4,2.515705323E-2
1.382812500E4,2.829605884E-2
1.385156250E4,2.580386712E-2
1.387500000E4,2.177174788E-2
1.389843750E4,2.344052420E-2
1.392187500E4,2.963018971E-2
1.394531250E4,2.716642408E-2
1.396875000E4,2.652734575E-2
1.399218750E4,1.705508184E-2
1.401562500E4,2.383987217E-2
1.403906250E4,1.944137627E-2
1.406250000E4,2.503144689E-2
1.408593750E4,1.731597998E-2
1.410937500E4,2.213269579E-2
1.413281250E4,2.320648159E-2
1.415625000E4,2.467620086E-2
1.417968750E4,1.555978192E-2
1.420312500E4,2.278824698E-2
1.422656250E4,1.961716676E-2
1.425000000E4,3.134502137E-2
1.427343750E4,2.551539321E-2
1.429687500E4,1.566951168E-2
1.432031250E4,2.932155422E-2
1.434375000E4,2.115119270E-2
1.436718750E4,1.982793853E-2
1.439062500E4,1.633396484E-2
1.441406250E4,2.641739862E-2
1.443750000E4,2.498423000E-2
1.446093750E4,2.048007558E-2
1.448437500E4,2.113197976E-2
1.450781250E4,3.038271394E-2
1.453125000E4,3.962145972E-2
1.455468750E4,1.616117350E-2
1.457812500E4,1.831393031E-2
1.460156250E4,2.408891783E-2
1.462500000E4,2.669521783E-2
1.464843750E4,2.333902253E-2
1.467187500E4,1.013668050E-2
1.469531250E4,1.403116386E-2
1.471875000E4,2.784665777E-2
1.474218750E4,4.078368804E-2
1.476562500E4,2.104995795E-2
1.478906250E4,3.663953660E-2
1.481250000E4,4.648669378E-2
1.483593750E4,2.151449209E-2
1.485937500E4,2.277973120E-2
1.488281250E4,1.692211122E-2
1.490625000E4,2.514001562E-2
1.492968750E4,2.914414089E-2
1.495312500E4,3.070716439E-2
1.497656250E4,2.855008361E-2
1.500000000E4,2.570332363E-2
