"Time (s)","Illuminance (lx)"
7.000805994E1,1.353874969E2
7.020807187E1,1.328500061E2
7.040805593E1,1.318500061E2
7.060806541E1,1.331999969E2
7.080805203E1,1.326000061E2
7.100806426E1,1.361374969E2
7.120804671E1,1.337500000E2
7.140806114E1,1.312624969E2
7.160804765E1,1.185000000E2
7.180806025E1,1.077375031E2
7.200805406E1,1.198499985E2
7.220805822E1,1.436625061E2
7.240804906E1,1.532375031E2
7.260804900E1,1.545250092E2
7.280803656E1,1.339499969E2
7.300804619E1,1.398750000E2
7.320805739E1,1.169500046E2
7.340804135E1,1.146125031E2
7.360807135E1,1.116250000E2
7.380801874E1,1.032000046E2
7.400803963E1,1.099749985E2
7.420803166E1,1.332500000E2
7.440802916E1,1.418750000E2
7.460802452E1,1.514375000E2
7.480802421E1,1.582125092E2
7.500800755E1,1.625500031E2
7.520802098E1,1.584625092E2
7.540800328E1,1.520875092E2
7.560801692E1,1.401250000E2
7.580799937E1,1.429625092E2
7.600801729E1,1.589625092E2
7.620799614E1,1.655375061E2
7.640800963E1,1.595124969E2
7.660799135E1,1.568249969E2
7.680800479E1,1.482500000E2
7.700798624E1,1.345000000E2
7.720800148E1,1.107750015E2
7.740798216E1,1.106250000E2
7.760797992E1,1.206875000E2
7.780797924E1,1.196500015E2
7.800799054E1,1.092874985E2
7.820798330E1,1.117249985E2
7.840799122E1,1.129250031E2
7.860797591E1,1.498500061E2
7.880798497E1,1.372375031E2
7.900798164E1,1.245750046E2
7.920798310E1,1.097249985E2
7.940796284E1,8.691249847E1
7.960798091E1,7.186250305E1
7.980796153E1,5.267499924E1
8.000797153E1,3.926250076E1
8.020795591E1,4.329999924E1
8.040797205E1,4.354999924E1
8.060795195E1,4.320000076E1
8.080796622E1,3.837500000E1
8.100794758E1,3.622500229E1
8.120796112E1,3.702500153E1
8.140794357E1,3.667499924E1
8.160795336E1,3.682500076E1
8.180793851E1,4.166250229E1
8.200795882E1,5.910000229E1
8.220793513E1,8.501250458E1
8.240795018E1,9.537500000E1
8.260793190E1,1.508375092E2
8.280794607E1,1.361875000E2
8.300792747E1,1.045999985E2
8.320794502E1,1.255250015E2
8.340792226E1,1.430625000E2
8.360793653E1,1.185999985E2
8.380792008E1,1.193499985E2
8.400793247E1,1.097750015E2
8.420791424E1,1.040500031E2
8.440793169E1,9.797499847E1
8.460790961E1,1.057874985E2
8.480792492E1,1.066375046E2
8.500791851E1,1.122750015E2
8.520791961E1,1.227874985E2
8.540791336E1,1.200500031E2
8.560791752E1,1.164625015E2
8.580789856E1,1.178000031E2
8.600791278E1,1.217874985E2
8.620791450E1,1.320500031E2
8.640790929E1,1.605124969E2
8.660793898E1,1.758625031E2
8.680790325E1,1.992250061E2
8.700791606E1,2.089000092E2
8.720790367E1,2.265375061E2
8.740789726E1,2.448249969E2
8.760788054E1,2.451250000E2
8.780789830E1,1.146624985E2
8.800787528E1,1.203000031E2
8.820788726E1,1.141624985E2
8.840788815E1,1.113750000E2
8.860788778E1,1.081875000E2
8.880786664E1,1.140625000E2
8.900788487E1,2.486125031E2
8.920786216E1,2.451250000E2
8.940788028E1,2.401374969E2
8.960785914E1,1.350500031E2
8.980787310E1,1.095250015E2
9.000785325E1,1.312125092E2
9.020787205E1,2.361999969E2
9.040785086E1,2.365000000E2
9.060786919E1,2.389499969E2
9.080784685E1,2.403375092E2
9.100786148E1,2.423375092E2
9.120784377E1,2.430250092E2
9.140785987E1,2.419375000E2
9.160784685E1,2.386999969E2
9.180785169E1,2.364499969E2
9.200783554E1,2.349125061E2
9.220784763E1,2.607749939E2
9.240783341E1,2.632625122E2
9.260784148E1,2.575874939E2
9.280782773E1,2.146750031E2
9.300784065E1,1.965375061E2
9.320782601E1,1.736125031E2
9.340783216E1,1.265750046E2
9.360781898E1,1.964375000E2
9.380783315E1,1.571750031E2
9.400781669E1,1.963874969E2
9.420782919E1,2.193125000E2
9.440781190E1,2.227500000E2
9.460782784E1,2.113375092E2
9.480780763E1,2.260875092E2
9.500782455E1,2.361500092E2
9.520780205E1,2.391500092E2
9.540781440E1,2.410375061E2
9.560779862E1,2.422875061E2
9.580781424E1,2.436250000E2
9.600779482E1,2.434250031E2
9.620781013E1,2.438750000E2
9.640779159E1,2.386000061E2
9.660780096E1,2.403874969E2
9.680778643E1,2.435749969E2
9.700779820E1,2.453249969E2
9.720778289E1,2.452750092E2
9.740779362E1,2.411374969E2
9.760777711E1,2.247375031E2
9.780778773E1,2.270375061E2
9.800778773E1,2.297250061E2
9.820779174E1,2.340124969E2
9.840777883E1,2.343125000E2
9.860778534E1,2.369000092E2
9.880777028E1,2.394875031E2
9.900778216E1,2.412375031E2
9.920779607E1,2.439750061E2
9.940777726E1,2.437750092E2
9.960777643E1,2.418375092E2
9.980777289E1,2.413375092E2
1.000077721E2,2.424875031E2
1.002077660E2,2.440250092E2
1.004077678E2,2.433750000E2
1.006077645E2,2.420375061E2
1.008077636E2,2.416875000E2
1.010077581E2,2.411875000E2
1.012077565E2,2.401374969E2
1.014077384E2,2.395875092E2
1.016077572E2,2.395375061E2
1.018077343E2,2.400875092E2
1.020077461E2,2.428375092E2
1.022077302E2,2.471125031E2
1.024077467E2,2.427375031E2
