"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
5.050771000E-1,7.720743750E-1,2.723917961E-1,-7.953225076E-2,-5.686637759E-1,7.891893380E1,3.134860207E1,1.077712160E1,-6.971393775E1
5.100771000E-1,7.724952261E-1,2.720621824E-1,-7.927367091E-2,-5.682860017E-1,7.884302041E1,3.130364378E1,1.076266482E1,-6.965642436E1
5.150771000E-1,7.728669320E-1,2.713483274E-1,-7.934692502E-2,-5.681116581E-1,7.877592093E1,3.123871508E1,1.069979312E1,-6.963764379E1
5.200771000E-1,7.731357956E-1,2.707445621E-1,-7.947700471E-2,-5.680156946E-1,7.872735649E1,3.118751779E1,1.064255128E1,-6.963065641E1
5.250771000E-1,7.733233525E-1,2.706072628E-1,-7.940100878E-2,-5.678364038E-1,7.869346348E1,3.117105018E1,1.063291554E1,-6.960449669E1
5.300771000E-1,7.733881273E-1,2.706570625E-1,-7.920409739E-2,-5.677519441E-1,7.868175533E1,3.116456070E1,1.065070405E1,-6.958743654E1
5.350771000E-1,7.734904420E-1,2.706756890E-1,-7.905370742E-2,-5.676246285E-1,7.866325882E1,3.115840996E1,1.066053775E1,-6.956580071E1
5.400771000E-1,7.735431689E-1,2.706413567E-1,-7.910381258E-2,-5.675621629E-1,7.865372538E1,3.115888577E1,1.065128881E1,-6.955861156E1
5.450771000E-1,7.736793692E-1,2.704907060E-1,-7.929132134E-2,-5.674221516E-1,7.862909484E1,3.115731879E1,1.061873322E1,-6.954481261E1
5.500771000E-1,7.736776735E-1,2.702035904E-1,-7.971364260E-2,-5.675020814E-1,7.862940151E1,3.115434142E1,1.056418365E1,-6.956825548E1
5.550771000E-1,7.737413967E-1,2.699780762E-1,-8.020903915E-2,-5.674527287E-1,7.861787559E1,3.116373248E1,1.050244500E1,-6.957541824E1
5.600771000E-1,7.737664510E-1,2.699148357E-1,-8.076226711E-2,-5.673701763E-1,7.861334351E1,3.119347541E1,1.044554798E1,-6.957875928E1
5.650771000E-1,7.737272386E-1,2.699970007E-1,-8.133482933E-2,-5.673027635E-1,7.862043657E1,3.123886237E1,1.039761154E1,-6.958407030E1
5.700771000E-1,7.735477494E-1,2.701054513E-1,-8.196608722E-2,-5.674050450E-1,7.865289715E1,3.128866000E1,1.035281191E1,-6.961435881E1
5.750771000E-1,7.733761274E-1,2.702099085E-1,-8.256893605E-2,-5.675018430E-1,7.868392445E1,3.133634238E1,1.031009442E1,-6.964322468E1
