# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"Time (s)","Peak-Frequency"
2.059495877E2,3.515625000E2
2.059922544E2,5.156250000E2
2.060349210E2,6.093750000E2
2.060775877E2,8.203125000E2
2.061202544E2,7.500000000E2
2.061629210E2,5.390625000E2
2.062055877E2,5.390625000E2
2.062482544E2,5.156250000E2
2.062909210E2,6.796875000E2
2.063335877E2,6.562500000E2
2.063762544E2,5.156250000E2
2.064189210E2,4.687500000E2
2.064615877E2,2.578125000E2
2.065042544E2,4.687500000E1
2.065469210E2,2.578125000E2
2.065895877E2,1.171875000E2
2.066322544E2,1.171875000E2
2.066749210E2,3.750000000E2
2.067175877E2,6.562500000E2
2.067602544E2,6.562500000E2
2.068029210E2,7.734375000E2
2.068455877E2,7.500000000E2
2.068882544E2,7.500000000E2
2.069309210E2,1.875000000E2
2.069735877E2,1.640625000E2
2.070162544E2,7.265625000E2
2.070589210E2,7.265625000E2
2.071015877E2,7.265625000E2
2.071442544E2,3.750000000E2
2.071869210E2,4.218750000E2
2.072295877E2,4.687500000E1
2.072722544E2,3.750000000E2
2.073149210E2,3.750000000E2
2.073575877E2,3.750000000E2
2.074002544E2,1.875000000E2
2.074429210E2,3.984375000E2
2.074855877E2,3.984375000E2
2.075282544E2,3.750000000E2
2.075709210E2,3.750000000E2
2.076135877E2,2.812500000E2
2.076562544E2,1.640625000E2
2.076989210E2,3.046875000E2
2.077415877E2,1.640625000E2
2.077842544E2,7.031250000E1
2.078269210E2,4.687500000E1
2.078695877E2,4.921875000E2
2.079122544E2,4.921875000E2
2.079549210E2,4.687500000E1
2.079975877E2,7.031250000E2
2.080402544E2,7.265625000E2
2.080829210E2,7.031250000E2
2.081255877E2,9.609375000E2
2.081682544E2,7.031250000E2
2.082109210E2,7.031250000E2
2.082535877E2,7.968750000E2
2.082962544E2,2.812500000E2
2.083389210E2,2.578125000E2
2.083815877E2,2.812500000E2
2.084242544E2,7.968750000E2
2.084669210E2,7.968750000E2
2.085095877E2,2.812500000E2
2.085522544E2,2.578125000E2
2.085949210E2,4.687500000E1
2.086375877E2,2.812500000E2
2.086802544E2,6.328125000E2
2.087229210E2,6.796875000E2
2.087655877E2,7.031250000E2
2.088082544E2,2.812500000E2
2.088509210E2,2.812500000E2
2.088935877E2,2.812500000E2
2.089362544E2,3.984375000E2
2.089789210E2,5.390625000E2
2.090215877E2,5.156250000E2
2.090642544E2,5.156250000E2
2.091069210E2,7.500000000E2
2.091495877E2,7.265625000E2
2.091922544E2,2.812500000E2
2.092349210E2,5.390625000E2
2.092775877E2,2.812500000E2
2.093202544E2,2.812500000E2
2.093629210E2,7.265625000E2
2.094055877E2,3.046875000E2
2.094482544E2,3.046875000E2
2.094909210E2,3.750000000E2
2.095335877E2,7.734375000E2
2.095762544E2,7.734375000E2
2.096189210E2,1.640625000E2
2.096615877E2,7.265625000E2
2.097042544E2,7.031250000E2
2.097469210E2,6.562500000E2
2.097895877E2,6.796875000E2
2.098322544E2,5.156250000E2
2.098749210E2,5.390625000E2
2.099175877E2,5.156250000E2
2.099602544E2,6.562500000E2
2.100029210E2,6.562500000E2
2.100455877E2,3.515625000E2
2.100882544E2,3.515625000E2
2.101309210E2,7.265625000E2
2.101735877E2,5.156250000E2
2.102162544E2,7.265625000E2
2.102589210E2,7.500000000E2
2.103015877E2,6.093750000E2
2.103442544E2,6.093750000E2
2.103869210E2,3.984375000E2
2.104295877E2,3.750000000E2
2.104722544E2,4.687500000E2
2.105149210E2,4.453125000E2
2.105575877E2,7.734375000E2
2.106002544E2,7.734375000E2
2.106429210E2,4.687500000E1
2.106855877E2,6.562500000E2
2.107282544E2,1.406250000E2
2.107709210E2,5.625000000E2
2.108135877E2,3.023437500E3
2.108562544E2,1.640625000E2
2.108989210E2,9.609375000E2
2.109415877E2,6.562500000E2
2.109842544E2,6.562500000E2
2.110269210E2,5.390625000E2
2.110695877E2,2.812500000E2
2.111122544E2,5.390625000E2
2.111549210E2,5.625000000E2
2.111975877E2,2.812500000E2
2.112402544E2,2.812500000E2
2.112829210E2,5.390625000E2
2.113255877E2,3.750000000E2
2.113682544E2,3.984375000E2
2.114109210E2,3.046875000E2
2.114535877E2,6.093750000E2
2.114962544E2,7.031250000E2
2.115389210E2,7.031250000E2
2.115815877E2,5.156250000E2
2.116242544E2,7.031250000E2
2.116669210E2,5.156250000E2
2.117095877E2,6.796875000E2
2.117522544E2,6.562500000E2
2.117949210E2,6.562500000E2
2.118375877E2,7.031250000E2
2.118802544E2,5.156250000E2
2.119229210E2,7.031250000E2
2.119655877E2,5.390625000E2
2.120082544E2,2.109375000E2
2.120509210E2,3.984375000E2
2.120935877E2,7.265625000E2
2.121362544E2,7.500000000E2
2.121789210E2,6.562500000E2
2.122215877E2,5.156250000E2
2.122642544E2,6.562500000E2
2.123069210E2,6.562500000E2
2.123495877E2,4.921875000E2
2.123922544E2,1.640625000E2
2.124349210E2,1.640625000E2
2.124775877E2,2.812500000E2
2.125202544E2,2.812500000E2
2.125629210E2,2.578125000E2
2.126055877E2,2.812500000E2
2.126482544E2,5.156250000E2
2.126909210E2,9.140625000E2
2.127335877E2,5.156250000E2
2.127762544E2,6.562500000E2
2.128189210E2,4.687500000E1
2.128615877E2,1.875000000E2
2.129042544E2,5.625000000E2
2.129469210E2,6.328125000E2
2.129895877E2,9.609375000E2
2.130322544E2,8.203125000E2
2.130749210E2,5.625000000E2
2.131175877E2,5.625000000E2
2.131602544E2,7.265625000E2
2.132029210E2,9.140625000E2
2.132455877E2,5.625000000E2
2.132882544E2,2.812500000E2
2.133309210E2,7.031250000E2
2.133735877E2,6.093750000E2
2.134162544E2,5.625000000E2
2.134589210E2,3.046875000E2
2.135015877E2,3.046875000E2
2.135442544E2,4.921875000E2
2.135869210E2,3.750000000E2
2.136295877E2,4.921875000E2
2.136722544E2,3.984375000E2
2.137149210E2,3.750000000E2
2.137575877E2,3.046875000E2
2.138002544E2,4.218750000E2
2.138429210E2,2.812500000E2
2.138855877E2,4.687500000E1
2.139282544E2,5.625000000E2
2.139709210E2,2.812500000E2
2.140135877E2,2.812500000E2
2.140562544E2,5.390625000E2
2.140989210E2,2.812500000E2
2.141415877E2,4.921875000E2
2.141842544E2,5.859375000E2
2.142269210E2,4.453125000E2
2.142695877E2,2.812500000E2
2.143122544E2,5.625000000E2
2.143549210E2,5.625000000E2
2.143975877E2,6.562500000E2
2.144402544E2,3.750000000E2
2.144829210E2,3.750000000E2
2.145255877E2,6.562500000E2
2.145682544E2,5.859375000E2
2.146109210E2,5.625000000E2
2.146535877E2,6.093750000E2
2.146962544E2,2.812500000E2
2.147389210E2,2.578125000E2
2.147815877E2,2.812500000E2
2.148242544E2,2.812500000E2
2.148669210E2,5.390625000E2
2.149095877E2,8.203125000E2
2.149522544E2,5.156250000E2
2.149949210E2,6.093750000E2
2.150375877E2,6.093750000E2
2.150802544E2,6.093750000E2
2.151229210E2,6.796875000E2
2.151655877E2,6.328125000E2
2.152082544E2,5.156250000E2
2.152509210E2,6.093750000E2
2.152935877E2,7.265625000E2
2.153362544E2,6.093750000E2
2.153789210E2,6.093750000E2
2.154215877E2,6.796875000E2
2.154642544E2,6.796875000E2
2.155069210E2,6.093750000E2
2.155495877E2,4.218750000E2
2.155922544E2,4.687500000E2
2.156349210E2,4.687500000E2
2.156775877E2,4.687500000E2
2.157202544E2,2.578125000E2
2.157629210E2,9.609375000E2
2.158055877E2,7.265625000E2
2.158482544E2,6.093750000E2
2.158909210E2,4.687500000E1
2.159335877E2,5.625000000E2
2.159762544E2,4.218750000E2
2.160189210E2,4.218750000E2
2.160615877E2,2.578125000E2
2.161042544E2,2.812500000E2
2.161469210E2,2.578125000E2
2.161895877E2,2.343750000E2
2.162322544E2,9.140625000E2
2.162749210E2,6.796875000E2
2.163175877E2,7.265625000E2
2.163602544E2,2.812500000E2
2.164029210E2,1.171875000E2
2.164455877E2,7.031250000E1
2.164882544E2,5.625000000E2
2.165309210E2,5.390625000E2
2.165735877E2,3.984375000E2
2.166162544E2,3.984375000E2
2.166589210E2,3.750000000E2
2.167015877E2,3.750000000E2
2.167442544E2,2.812500000E2
2.167869210E2,1.171875000E3
2.168295877E2,5.625000000E2
2.168722544E2,2.578125000E2
2.169149210E2,4.687500000E2
2.169575877E2,5.156250000E2
2.170002544E2,7.031250000E2
2.170429210E2,7.031250000E2
2.170855877E2,7.031250000E2
2.171282544E2,7.031250000E2
2.171709210E2,5.625000000E2
2.172135877E2,3.750000000E2
2.172562544E2,3.750000000E2
2.172989210E2,3.750000000E2
