"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.370364627E2,5.336066108E1,-6.271526160E0,1.897088964E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.380363998E2,5.336066103E1,-6.271526110E0,1.898407331E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.390360067E2,5.336066099E1,-6.271526680E0,1.898358458E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.400361015E2,5.336066029E1,-6.271526670E0,1.901355341E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.410364061E2,5.336066040E1,-6.271526980E0,1.904822103E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.420365065E2,5.336066034E1,-6.271526970E0,1.905755947E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.430364674E2,5.336066017E1,-6.271527450E0,1.909796447E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.440364382E2,5.336065970E1,-6.271527520E0,1.912549164E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.450362210E2,5.336065985E1,-6.271527580E0,1.912872634E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.460362796E2,5.336065984E1,-6.271527540E0,1.917077960E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.470361959E2,5.336065940E1,-6.271527510E0,1.913153437E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.480359522E2,5.336065937E1,-6.271527490E0,1.914764769E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.490358770E2,5.336065935E1,-6.271527500E0,1.914551147E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.500361352E2,5.336065952E1,-6.271527180E0,1.918402479E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.510360888E2,5.336065926E1,-6.271527360E0,1.915179828E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
