"Time (s)","Illuminance (lx)"
9.330535570E1,2.223000031E2
9.350538846E1,2.173625031E2
9.362477267E1,2.587250061E2
9.365865019E1,2.599750061E2
9.385865009E1,1.790500031E2
9.405865551E1,1.764499969E2
9.425865113E1,2.014250031E2
9.445864936E1,2.428874969E2
9.465864582E1,2.519499969E2
9.485864608E1,2.506999969E2
9.505862946E1,2.497125092E2
9.525864212E1,2.495124969E2
9.545862624E1,2.494625092E2
9.565863540E1,2.496125031E2
9.585862160E1,2.494625092E2
9.605863311E1,2.494625092E2
9.625862993E1,2.494625092E2
9.645862775E1,2.495124969E2
9.665861231E1,2.494125061E2
9.685862361E1,2.494625092E2
9.705861600E1,2.494125061E2
9.725861976E1,2.494625092E2
9.745860611E1,2.494625092E2
9.765861699E1,2.493125000E2
9.785860205E1,2.493625031E2
9.805861090E1,2.494125061E2
9.825859694E1,2.494625092E2
9.845860809E1,2.495625000E2
9.865859517E1,2.495124969E2
9.885860663E1,2.494125061E2
9.905858939E1,2.495625000E2
9.925859986E1,2.493625031E2
9.945858590E1,2.493625031E2
9.965859746E1,2.494125061E2
9.985858179E1,2.495625000E2
1.000585895E2,2.497125092E2
1.002585769E2,2.496625061E2
1.004585884E2,2.496625061E2
1.006585890E2,2.495625000E2
1.008585868E2,2.497624969E2
1.010585724E2,2.496625061E2
1.012585818E2,2.498625031E2
1.014586170E2,2.497624969E2
1.016585766E2,2.498625031E2
1.018585855E2,2.498125000E2
1.020585728E2,2.499125061E2
1.022585770E2,2.499125061E2
1.024585748E2,2.501125031E2
1.026585758E2,2.499125061E2
1.028585519E2,2.498625031E2
1.030585663E2,2.499125061E2
1.032585460E2,2.498625031E2
1.034585628E2,2.498625031E2
1.036585415E2,2.498625031E2
1.038585577E2,2.499625092E2
1.040585362E2,2.499125061E2
1.042585544E2,2.498625031E2
1.044585385E2,2.499125061E2
1.046585581E2,2.500124969E2
1.048585308E2,2.501625061E2
1.050585461E2,2.501625061E2
1.052585285E2,2.501125031E2
1.054585536E2,2.503125000E2
1.056585243E2,2.502125092E2
1.058585345E2,2.503625031E2
1.060585192E2,2.505500031E2
1.062585315E2,2.504499969E2
1.064585137E2,2.502624969E2
1.066585289E2,2.503625031E2
1.068585116E2,2.501625061E2
1.070585225E2,2.503625031E2
1.072585071E2,2.504000092E2
1.074585182E2,2.503125000E2
1.076585101E2,2.502125092E2
1.078585193E2,2.501625061E2
1.080584982E2,2.501625061E2
1.082585144E2,2.501625061E2
1.084585460E2,2.502624969E2
1.086585172E2,2.501125031E2
1.088585130E2,2.501625061E2
1.090585002E2,2.502125092E2
1.092585062E2,2.500625000E2
1.094585005E2,2.500625000E2
1.096584979E2,2.501125031E2
1.098584790E2,2.500124969E2
1.100585017E2,2.501125031E2
1.102584772E2,2.501125031E2
1.104584908E2,2.500625000E2
1.106584731E2,2.501125031E2
1.108584860E2,2.499625092E2
1.110584669E2,2.497624969E2
1.112584900E2,2.498125000E2
1.114584708E2,2.498125000E2
1.116584857E2,2.497624969E2
1.118584630E2,2.497125092E2
1.120584740E2,2.497624969E2
1.122584566E2,2.497624969E2
1.124584757E2,2.498625031E2
1.126584540E2,2.500625000E2
1.128584687E2,2.498625031E2
1.130584482E2,2.498625031E2
1.132584684E2,2.498125000E2
1.134584440E2,2.495124969E2
1.136584607E2,2.495625000E2
1.138584395E2,2.494625092E2
1.140584532E2,2.494125061E2
1.142584351E2,2.495124969E2
1.144584526E2,2.494625092E2
1.146584297E2,2.493125000E2
1.148584389E2,2.493625031E2
1.150584406E2,2.492624969E2
1.152584489E2,2.490625000E2
1.154584302E2,2.489125061E2
1.156584373E2,2.489625092E2
1.158584690E2,2.489125061E2
1.160584323E2,2.490625000E2
1.162584322E2,2.494125061E2
1.164584276E2,2.493625031E2
1.166584315E2,2.494125061E2
1.168584081E2,2.494125061E2
1.170584243E2,2.490124969E2
1.172584177E2,2.492125092E2
1.174584169E2,2.491625061E2
1.176584017E2,2.486625061E2
1.178584190E2,2.489625092E2
1.180583954E2,2.486625061E2
1.182584120E2,2.487624969E2
1.184583924E2,2.487624969E2
1.186584081E2,2.486625061E2
1.188583941E2,2.486125031E2
1.190584023E2,2.485625000E2
1.192583894E2,2.483625031E2
1.194583980E2,2.483625031E2
1.196583802E2,2.484625092E2
1.198583947E2,2.485124969E2
1.200583762E2,2.482624969E2
1.202583907E2,2.483125000E2
1.204583732E2,2.482125092E2
1.206583886E2,2.482125092E2
1.208583670E2,2.482125092E2
1.210583799E2,2.480124969E2
1.212583657E2,2.479125061E2
1.214583797E2,2.478125000E2
1.216583597E2,2.477624969E2
1.218583842E2,2.475625000E2
1.220583564E2,2.475625000E2
1.222583800E2,2.474625092E2
1.224583610E2,2.472624969E2
1.226583685E2,2.471625061E2
1.228583534E2,2.472125092E2
1.230583612E2,2.471125031E2
1.232583882E2,2.472125092E2
1.234583573E2,2.472125092E2
1.236583545E2,2.470124969E2
1.238583530E2,2.469125061E2
1.240583513E2,2.468125000E2
1.242583494E2,2.468625031E2
1.244583508E2,2.468125000E2
1.246583458E2,2.468125000E2
1.248583423E2,2.467624969E2
1.250583249E2,2.467624969E2
1.252583492E2,2.466250000E2
1.254583214E2,2.464750061E2
1.256583363E2,2.464750061E2
1.258583213E2,2.464250031E2
1.260583345E2,2.464250031E2
1.262583122E2,2.464250031E2
1.264583314E2,2.464250031E2
1.266583077E2,2.461250000E2
1.268583225E2,2.459750061E2
1.270583062E2,2.456750031E2
1.272583233E2,2.457750092E2
1.274583027E2,2.454250031E2
1.276583164E2,2.452250061E2
1.278582981E2,2.454750061E2
1.280583135E2,2.454750061E2
1.282582925E2,2.452250061E2
1.284583114E2,2.451750031E2
1.286582893E2,2.451750031E2
1.288583016E2,2.450749969E2
1.290582862E2,2.449250031E2
1.292582979E2,2.450250092E2
1.294582814E2,2.447750092E2
1.296583011E2,2.446250000E2
1.298582783E2,2.447250061E2
1.300582910E2,2.447250061E2
1.302582877E2,2.447250061E2
1.304582860E2,2.444250031E2
1.306582724E2,2.448750000E2
1.308582822E2,2.484625092E2
1.310583128E2,2.521999969E2
1.312582619E2,2.535000000E2
1.314582794E2,2.551875000E2
1.316582737E2,2.541875000E2
1.318582751E2,2.551875000E2
1.320582739E2,2.562875061E2
1.322582648E2,2.499625092E2
1.324582499E2,2.440749969E2
1.326582630E2,2.437250061E2
1.328582452E2,2.437750092E2
1.330582600E2,2.440250092E2
1.332582442E2,2.442750092E2
1.334582607E2,2.440250092E2
1.336582373E2,2.439750061E2
1.338582520E2,2.437750092E2
1.340582323E2,2.436250000E2
1.342582481E2,2.433750000E2
1.344582316E2,2.430250092E2
1.346582464E2,2.430749969E2
1.348582306E2,2.429750061E2
1.350582391E2,2.429750061E2
1.352582252E2,2.429750061E2
1.354582313E2,2.431750031E2
1.356582204E2,2.432250061E2
1.358582324E2,2.432250061E2
1.360582147E2,2.431750031E2
1.362582298E2,2.432750092E2
1.364582119E2,2.433750000E2
1.366582286E2,2.434250031E2
1.368582087E2,2.434250031E2
1.370582179E2,2.435250092E2
1.372582018E2,2.433249969E2
1.374582172E2,2.434250031E2
1.376582030E2,2.437750092E2
1.378582139E2,2.436250000E2
1.380582077E2,2.437250061E2
1.382582087E2,2.438249969E2
1.384582143E2,2.436750031E2
1.386582029E2,2.437250061E2
1.388582050E2,2.436250000E2
1.390581969E2,2.435749969E2
1.392581968E2,2.437750092E2
1.394581938E2,2.438249969E2
1.396582027E2,2.438249969E2
1.398581742E2,2.439750061E2
1.400581916E2,2.441750031E2
1.402581747E2,2.442250061E2
1.404581858E2,2.440250092E2
1.406581666E2,2.439250031E2
1.408581814E2,2.439750061E2
1.410582120E2,2.442250061E2
1.412581822E2,2.443750000E2
1.414581678E2,2.443249969E2
1.416581825E2,2.446250000E2
1.418581539E2,2.445749969E2
1.420581743E2,2.445749969E2
1.422581491E2,2.446250000E2
1.424581672E2,2.445749969E2
1.426581476E2,2.445250092E2
1.428581652E2,2.447250061E2
1.430581421E2,2.448249969E2
1.432581566E2,2.449250031E2
1.434581411E2,2.449250031E2
1.436581573E2,2.449250031E2
1.438581360E2,2.448750000E2
1.440581486E2,2.447750092E2
1.442581323E2,2.447750092E2
1.444581448E2,2.447750092E2
1.446581324E2,2.452750092E2
1.448581485E2,2.450749969E2
1.450581225E2,2.451250000E2
1.452581407E2,2.449250031E2
1.454581333E2,2.448750000E2
1.456581291E2,2.448249969E2
1.458581304E2,2.449750061E2
1.460581285E2,2.449750061E2
1.462581206E2,2.448249969E2
1.464581247E2,2.449750061E2
1.466581730E2,2.450749969E2
1.468581281E2,2.450250092E2
1.470581188E2,2.450250092E2
1.472580993E2,2.449250031E2
1.474581138E2,2.448249969E2
1.476580976E2,2.452750092E2
1.478581123E2,2.452750092E2
1.480580903E2,2.453750000E2
1.482581124E2,2.454750061E2
1.484580924E2,2.454250031E2
1.486581057E2,2.454750061E2
1.488580976E2,2.454250031E2
1.490581008E2,2.452750092E2
1.492580792E2,2.452750092E2
1.494580943E2,2.451750031E2
1.496580795E2,2.452750092E2
1.498580897E2,2.453750000E2
1.500580733E2,2.455749969E2
1.502580941E2,2.457250061E2
1.504580709E2,2.455749969E2
1.506580874E2,2.457750092E2
1.508580639E2,2.458249969E2
1.510580792E2,2.457250061E2
1.512580620E2,2.458249969E2
1.514580838E2,2.458249969E2
1.516580595E2,2.461250000E2
1.518580774E2,2.465250092E2
