# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"Frequency (Hz)","Absolute Amplitude (a.u.)"
8.625000000E3,2.982280095E-2
8.648437500E3,2.815986924E-2
8.671875000E3,8.062186840E-3
8.695312500E3,1.920704508E-2
8.718750000E3,7.244673403E-2
8.742187500E3,5.002842748E-2
8.765625000E3,1.663562314E-2
8.789062500E3,5.144680818E-2
8.812500000E3,3.902230478E-2
8.835937500E3,7.606780123E-2
8.859375000E3,2.600393064E-2
8.882812500E3,8.875662017E-3
8.906250000E3,3.107809569E-2
8.929687500E3,3.261832718E-2
8.953125000E3,3.982013173E-2
8.976562500E3,1.558514831E-2
9.000000000E3,2.713841902E-2
9.023437500E3,3.007548210E-2
9.046875000E3,1.788395546E-2
9.070312500E3,2.077265914E-2
9.093750000E3,1.097467372E-2
9.117187500E3,4.803786694E-2
9.140625000E3,3.254935957E-2
9.164062500E3,2.818049575E-2
9.187500000E3,5.770677245E-2
9.210937500E3,2.519726687E-2
9.234375000E3,1.750436613E-2
9.257812500E3,4.146955079E-2
9.281250000E3,4.973305879E-2
9.304687500E3,7.847575392E-2
9.328125000E3,3.898208375E-2
9.351562500E3,4.630543408E-2
9.375000000E3,1.436347725E-2
9.398437500E3,4.932845600E-2
9.421875000E3,2.186988878E-3
9.445312500E3,4.776901102E-2
9.468750000E3,1.966028898E-2
9.492187500E3,4.920358508E-2
9.515625000E3,5.290904076E-2
9.539062500E3,4.233723732E-2
9.562500000E3,1.900211604E-2
9.585937500E3,4.343766503E-2
9.609375000E3,3.033948285E-2
9.632812500E3,9.044989928E-2
9.656250000E3,2.395780111E-2
9.679687500E3,1.630934895E-2
9.703125000E3,6.084070919E-2
9.726562500E3,1.822558788E-2
9.750000000E3,3.701430126E-2
9.773437500E3,6.389145692E-3
9.796875000E3,2.890683047E-2
9.820312500E3,4.225510804E-2
9.843750000E3,2.854394742E-2
9.867187500E3,3.960097108E-2
9.890625000E3,1.291127741E-2
9.914062500E3,3.091283523E-2
9.937500000E3,5.118558642E-2
9.960937500E3,4.156922354E-2
9.984375000E3,4.139062137E-2
1.000781250E4,7.276060145E-2
1.003125000E4,3.113930133E-2
1.005468750E4,4.418589474E-2
1.007812500E4,6.435390710E-2
1.010156250E4,2.915205711E-2
1.012500000E4,3.239201824E-2
1.014843750E4,4.422503278E-2
1.017187500E4,2.424112741E-2
1.019531250E4,2.159143071E-2
1.021875000E4,2.095943501E-2
1.024218750E4,5.372118051E-2
1.026562500E4,3.241158136E-2
1.028906250E4,5.659206628E-2
1.031250000E4,2.856088782E-2
1.033593750E4,2.214960150E-2
1.035937500E4,2.701833131E-2
1.038281250E4,4.861233493E-2
1.040625000E4,2.228386098E-2
1.042968750E4,4.075175264E-2
1.045312500E4,2.664117515E-2
1.047656250E4,2.130757790E-2
1.050000000E4,1.433621183E-2
1.052343750E4,3.179712927E-2
1.054687500E4,4.564902620E-2
1.057031250E4,2.841597701E-2
1.059375000E4,1.297861148E-2
1.061718750E4,1.472018239E-2
1.064062500E4,3.852074848E-2
1.066406250E4,1.055089732E-2
1.068750000E4,3.130916470E-2
1.071093750E4,5.711149071E-2
1.073437500E4,1.725201529E-2
1.075781250E4,3.503126728E-2
1.078125000E4,1.507058153E-3
1.080468750E4,1.889680138E-2
1.082812500E4,1.865736238E-2
1.085156250E4,5.158186789E-2
1.087500000E4,2.479675822E-2
1.089843750E4,3.568488922E-2
1.092187500E4,3.832384807E-2
1.094531250E4,2.037541048E-2
1.096875000E4,1.220037124E-2
1.099218750E4,2.177477301E-2
1.101562500E4,1.491262965E-3
1.103906250E4,6.512882932E-3
