"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
9.761998620E-1,7.948840857E-1,-1.004791260E0,-1.788148880E-1
9.811998620E-1,5.092580318E-1,-5.557250977E-1,-2.681074142E-1
9.861998620E-1,-5.281227827E-2,1.110515594E-1,-1.318044662E-1
9.911998620E-1,-7.762271166E-1,6.712222099E-1,-1.571655273E-2
9.961998620E-1,-1.049888611E0,9.910340309E-1,9.630870819E-2
1.001199862E0,-8.478053808E-1,9.705958366E-1,7.345771790E-2
1.006199862E0,-3.711800277E-1,6.777858734E-1,-4.682350159E-2
1.011199862E0,-5.367973819E-2,3.291764259E-1,-1.571292877E-1
1.016199862E0,-4.611521959E-3,5.388212204E-2,-1.057729721E-1
1.021199862E0,-1.298726350E-1,1.610565186E-2,-1.354217529E-2
1.026199862E0,-2.055304796E-1,2.132463455E-1,1.806068420E-2
1.031199862E0,-2.691287398E-1,1.937584877E-1,-1.303644180E-1
1.036199862E0,-1.935073584E-1,6.692934036E-2,-3.122644424E-1
1.041199862E0,-4.334277660E-2,-3.358697891E-2,-3.057384491E-1
1.046199862E0,-4.619498178E-2,-4.385185242E-2,-3.283319473E-1
1.051199862E0,-1.371735483E-1,8.848857880E-2,-2.907009125E-1
1.056199862E0,-2.413596362E-1,2.850985527E-1,-1.929206848E-1
1.061199862E0,-2.497742474E-1,3.884725571E-1,-1.304626465E-2
1.066199862E0,-1.996130347E-1,3.535280228E-1,3.327465057E-2
1.071199862E0,-1.964906007E-1,3.048710823E-1,1.259708405E-2
1.076199862E0,-2.658898234E-1,3.146848679E-1,1.985073090E-2
1.081199862E0,-3.836432397E-1,3.503017426E-1,-6.562232971E-3
1.086199862E0,-5.047246218E-1,3.463253975E-1,-7.468128204E-2
1.091199862E0,-5.194329619E-1,3.076748848E-1,-1.278905869E-1
1.096199862E0,-4.023357928E-1,2.087059021E-1,3.537654877E-2
1.101199862E0,-1.409884989E-1,-4.390621185E-2,5.305109024E-1
1.106199862E0,6.300150752E-1,-4.034051895E-1,1.010665894E0
1.111199862E0,5.764131546E-1,1.110930443E-1,5.240898132E-1
1.116199862E0,2.106740773E-1,5.476293564E-1,4.204826355E-1
1.121199862E0,-3.348051310E-1,6.765565872E-1,6.569528580E-1
1.126199862E0,-6.272679567E-1,5.437908173E-1,8.278474808E-1
1.131199862E0,-5.205596685E-1,3.002948761E-1,8.012323380E-1
1.136199862E0,-1.853609234E-1,6.382656097E-2,6.542587280E-1
1.141199862E0,1.065212414E-1,-5.350494385E-2,7.359266281E-1
