"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.666473561E0,-2.049599886E0,-3.681959915E1,-2.069120026E1
2.676473561E0,-1.976400018E0,-3.694160080E1,-2.063019943E1
2.686473561E0,-1.878799915E0,-3.695380020E1,-2.061800003E1
2.696473561E0,-1.829999924E0,-3.701480103E1,-2.067899895E1
2.706473561E0,-1.768999934E0,-3.707579803E1,-2.064239883E1
2.716473561E0,-1.646999955E0,-3.697819901E1,-2.066679955E1
2.726473561E0,-1.537199974E0,-3.691719818E1,-2.071559906E1
2.736473561E0,-1.390799999E0,-3.691719818E1,-2.081320000E1
2.746473561E0,-1.232200027E0,-3.690499878E1,-2.086199951E1
2.756473561E0,-1.134599924E0,-3.677079773E1,-2.097179985E1
2.766473561E0,-1.036999941E0,-3.680739975E1,-2.106939888E1
2.776473561E0,-9.027999640E-1,-3.670980072E1,-2.104500008E1
2.786473561E0,-8.051999807E-1,-3.668539810E1,-2.109379959E1
2.796473561E0,-6.832000017E-1,-3.662440109E1,-2.120359993E1
2.806473561E0,-5.611999631E-1,-3.659999847E1,-2.130119896E1
2.816473561E0,-4.513999820E-1,-3.646579742E1,-2.131340027E1
2.826473561E0,-3.416000009E-1,-3.639260101E1,-2.148419952E1
2.836473561E0,-2.073999941E-1,-3.633160019E1,-2.165499878E1
2.846473561E0,-2.439999953E-2,-3.619739914E1,-2.175259972E1
2.856473561E0,1.708000004E-1,-3.612419891E1,-2.204539871E1
2.866473561E0,3.050000072E-1,-3.600220108E1,-2.233819962E1
2.876473561E0,4.391999841E-1,-3.588019943E1,-2.254559898E1
2.886473561E0,5.856000185E-1,-3.573379898E1,-2.275300026E1
2.896473561E0,7.441999912E-1,-3.566059875E1,-2.292379951E1
2.906473561E0,8.539999723E-1,-3.562400055E1,-2.305799866E1
2.916473561E0,9.637999535E-1,-3.557519913E1,-2.316779900E1
2.926473561E0,1.024799943E0,-3.551419830E1,-2.328979874E1
2.936473561E0,1.073599935E0,-3.542879868E1,-2.326539993E1
2.946473561E0,1.110199928E0,-3.538000107E1,-2.327759933E1
2.956473561E0,1.146799922E0,-3.541659927E1,-2.326539993E1
2.966473561E0,1.146799922E0,-3.542879868E1,-2.319219971E1
2.976473561E0,1.122399926E0,-3.540439987E1,-2.310680008E1
2.986473561E0,1.122399926E0,-3.540439987E1,-2.302140045E1
2.996473561E0,1.024799943E0,-3.540439987E1,-2.292379951E1
3.006473561E0,9.882000089E-1,-3.540439987E1,-2.283839989E1
3.016473561E0,8.905999660E-1,-3.547760010E1,-2.280179977E1
3.026473561E0,8.295999765E-1,-3.551419830E1,-2.270419884E1
3.036473561E0,7.807999849E-1,-3.546540070E1,-2.264319992E1
3.046473561E0,7.441999912E-1,-3.550199890E1,-2.265539932E1
3.056473561E0,6.832000017E-1,-3.556299973E1,-2.263099861E1
3.066473561E0,6.710000038E-1,-3.555080032E1,-2.253339958E1
3.076473561E0,7.197999954E-1,-3.550199890E1,-2.248460007E1
3.086473561E0,7.075999975E-1,-3.551419830E1,-2.246019936E1
3.096473561E0,7.563999891E-1,-3.552639771E1,-2.238699913E1
3.106473561E0,8.173999786E-1,-3.551419830E1,-2.233819962E1
3.116473561E0,8.661999702E-1,-3.558739853E1,-2.224059868E1
3.126473561E0,9.027999640E-1,-3.558739853E1,-2.213080025E1
3.136473561E0,9.393999577E-1,-3.559959793E1,-2.202099991E1
3.146473561E0,1.000399947E0,-3.566059875E1,-2.208199883E1
3.156473561E0,1.036999941E0,-3.572159958E1,-2.197220039E1
3.166473561E0,1.073599935E0,-3.572159958E1,-2.188679886E1
3.176473561E0,1.122399926E0,-3.579479980E1,-2.177700043E1
3.186473561E0,1.146799922E0,-3.585580063E1,-2.170380020E1
3.196473561E0,1.134599924E0,-3.588019943E1,-2.167939949E1
3.206473561E0,1.146799922E0,-3.592900085E1,-2.159399986E1
3.216473561E0,1.183400035E0,-3.596559906E1,-2.154520035E1
3.226473561E0,1.183400035E0,-3.598999786E1,-2.133779907E1
3.236473561E0,1.183400035E0,-3.602659988E1,-2.125239944E1
3.246473561E0,1.183400035E0,-3.609980011E1,-2.113039970E1
3.256473561E0,1.171200037E0,-3.609980011E1,-2.108160019E1
3.266473561E0,1.134599924E0,-3.611199951E1,-2.104500008E1
3.276473561E0,1.146799922E0,-3.614859772E1,-2.089859962E1
3.286473561E0,1.134599924E0,-3.616080093E1,-2.082539940E1
3.296473561E0,1.122399926E0,-3.613639832E1,-2.077659988E1
3.306473561E0,1.158999920E0,-3.609980011E1,-2.076440048E1
3.316473561E0,1.195600033E0,-3.607539749E1,-2.082539940E1
3.326473561E0,1.220000029E0,-3.603879929E1,-2.083759880E1
3.336473561E0,1.207800031E0,-3.605099869E1,-2.081320000E1
3.346473561E0,1.268800020E0,-3.605099869E1,-2.078879929E1
3.356473561E0,1.281000018E0,-3.598999786E1,-2.083759880E1
3.366473561E0,1.317600012E0,-3.595339966E1,-2.092300034E1
3.376473561E0,1.305400014E0,-3.598999786E1,-2.100839996E1
3.386473561E0,1.317600012E0,-3.603879929E1,-2.104500008E1
3.396473561E0,1.293200016E0,-3.605099869E1,-2.104500008E1
3.406473561E0,1.317600012E0,-3.607539749E1,-2.111820030E1
3.416473561E0,1.342000008E0,-3.603879929E1,-2.114259911E1
3.426473561E0,1.317600012E0,-3.602659988E1,-2.114259911E1
3.436473561E0,1.305400014E0,-3.609980011E1,-2.114259911E1
3.446473561E0,1.293200016E0,-3.613639832E1,-2.116699982E1
3.456473561E0,1.293200016E0,-3.614859772E1,-2.116699982E1
3.466473561E0,1.268800020E0,-3.617300034E1,-2.126459885E1
3.476473561E0,1.281000018E0,-3.623400116E1,-2.130119896E1
3.486473561E0,1.305400014E0,-3.623400116E1,-2.128899956E1
3.496473561E0,1.293200016E0,-3.628279877E1,-2.138660049E1
3.506473561E0,1.329800010E0,-3.635599899E1,-2.147200012E1
3.516473561E0,1.342000008E0,-3.638039780E1,-2.156959915E1
3.526473561E0,1.390799999E0,-3.638039780E1,-2.161839867E1
3.536473561E0,1.451799989E0,-3.644139862E1,-2.166720009E1
3.546473561E0,1.427399993E0,-3.640480042E1,-2.167939949E1
3.556473561E0,1.427399993E0,-3.631940079E1,-2.171599960E1
3.566473561E0,1.439599991E0,-3.642919922E1,-2.174040031E1
3.576473561E0,1.451799989E0,-3.641699982E1,-2.177700043E1
3.586473561E0,1.427399993E0,-3.640480042E1,-2.177700043E1
3.596473561E0,1.439599991E0,-3.644139862E1,-2.172819901E1
3.606473561E0,1.390799999E0,-3.649020004E1,-2.175259972E1
3.616473561E0,1.354200006E0,-3.634379959E1,-2.175259972E1
3.626473561E0,1.366400003E0,-3.630719757E1,-2.174040031E1
3.636473561E0,1.390799999E0,-3.635599899E1,-2.167939949E1
3.646473561E0,1.366400003E0,-3.625839996E1,-2.165499878E1
3.656473561E0,1.366400003E0,-3.622179794E1,-2.161839867E1
3.666473561E0,1.342000008E0,-3.620959854E1,-2.158180046E1
3.676473561E0,1.329800010E0,-3.612419891E1,-2.163059998E1
3.686473561E0,1.268800020E0,-3.602659988E1,-2.164279938E1
3.696473561E0,1.244400024E0,-3.613639832E1,-2.170380020E1
3.706473561E0,1.195600033E0,-3.618519974E1,-2.175259972E1
3.716473561E0,1.110199928E0,-3.611199951E1,-2.183799934E1
3.726473561E0,1.073599935E0,-3.612419891E1,-2.198439980E1
3.736473561E0,1.073599935E0,-3.613639832E1,-2.206979942E1
3.746473561E0,1.085799932E0,-3.609980011E1,-2.220400047E1
3.756473561E0,1.073599935E0,-3.607539749E1,-2.224059868E1
3.766473561E0,1.110199928E0,-3.609980011E1,-2.221619987E1
3.776473561E0,1.097999930E0,-3.603879929E1,-2.224059868E1
3.786473561E0,1.085799932E0,-3.600220108E1,-2.228940010E1
3.796473561E0,1.110199928E0,-3.601440048E1,-2.233819962E1
3.806473561E0,1.134599924E0,-3.596559906E1,-2.233819962E1
3.816473561E0,1.085799932E0,-3.590459824E1,-2.228940010E1
3.826473561E0,1.049199939E0,-3.592900085E1,-2.227719879E1
3.836473561E0,9.759999514E-1,-3.595339966E1,-2.228940010E1
3.846473561E0,9.393999577E-1,-3.592900085E1,-2.226499939E1
3.856473561E0,9.393999577E-1,-3.594120026E1,-2.224059868E1
3.866473561E0,9.515999556E-1,-3.594120026E1,-2.221619987E1
3.876473561E0,9.027999640E-1,-3.590459824E1,-2.216740036E1
3.886473561E0,8.661999702E-1,-3.591679764E1,-2.215519905E1
3.896473561E0,8.661999702E-1,-3.591679764E1,-2.216740036E1
3.906473561E0,8.417999744E-1,-3.586800003E1,-2.221619987E1
3.916473561E0,8.295999765E-1,-3.585580063E1,-2.222839928E1
3.926473561E0,8.173999786E-1,-3.585580063E1,-2.237479973E1
