# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.273515531E0,7.502999783E0,1.901980019E1,-2.868219948E1,3.522380405E1
2.283515531E0,7.502999783E0,1.894659996E1,-2.870660019E1,3.520422631E1
2.293515531E0,7.527400017E0,1.895879936E1,-2.869439888E1,3.520605561E1
2.303515531E0,7.515199661E0,1.892219925E1,-2.868219948E1,3.517380300E1
2.313515531E0,7.539599895E0,1.893440056E1,-2.864559937E1,3.515575990E1
2.323515531E0,7.515199661E0,1.894659996E1,-2.868219948E1,3.518693569E1
2.333515531E0,7.515199661E0,1.895879936E1,-2.871879959E1,3.522334097E1
2.343515531E0,7.515199661E0,1.895879936E1,-2.869439888E1,3.520344907E1
2.353515531E0,7.466399670E0,1.889780045E1,-2.879199982E1,3.523993813E1
2.363515531E0,7.417599678E0,1.894659996E1,-2.877979851E1,3.524586837E1
2.373515531E0,7.393199921E0,1.890999985E1,-2.885299873E1,3.528091602E1
2.383515531E0,7.381000042E0,1.889780045E1,-2.888959885E1,3.530176971E1
2.393515531E0,7.393199921E0,1.887339973E1,-2.892619896E1,3.532123453E1
2.403515531E0,7.405399799E0,1.886120033E1,-2.890180016E1,3.529729276E1
2.413515531E0,7.381000042E0,1.883679962E1,-2.886520004E1,3.524916957E1
2.423515531E0,7.478600025E0,1.883679962E1,-2.888959885E1,3.528970671E1
2.433515531E0,7.539599895E0,1.887339973E1,-2.884079933E1,3.528232546E1
2.443515531E0,7.527400017E0,1.886120033E1,-2.886520004E1,3.529314951E1
2.453515531E0,7.527400017E0,1.886120033E1,-2.881639862E1,3.525324749E1
2.463515531E0,7.563999653E0,1.887339973E1,-2.877979851E1,3.523770864E1
2.473515531E0,7.563999653E0,1.888559914E1,-2.875539970E1,3.522432338E1
2.483515531E0,7.551799774E0,1.887339973E1,-2.881639862E1,3.526499294E1
2.493515531E0,7.563999653E0,1.883679962E1,-2.880419922E1,3.523806186E1
2.503515531E0,7.466399670E0,1.878800011E1,-2.875539970E1,3.515123162E1
2.513515531E0,7.441999912E0,1.880019951E1,-2.875539970E1,3.515257994E1
2.523515531E0,7.454199791E0,1.876359940E1,-2.876759911E1,3.514559027E1
2.533515531E0,7.441999912E0,1.875139999E1,-2.873099899E1,3.510653312E1
2.543515531E0,7.381000042E0,1.873920059E1,-2.879199982E1,3.513710366E1
2.553515531E0,7.381000042E0,1.872699928E1,-2.885299873E1,3.518060829E1
2.563515531E0,7.429800034E0,1.870260048E1,-2.880419922E1,3.513788676E1
2.573515531E0,7.405399799E0,1.867819977E1,-2.881639862E1,3.512975836E1
2.583515531E0,7.429800034E0,1.867819977E1,-2.882859993E1,3.514491783E1
2.593515531E0,7.454199791E0,1.869039917E1,-2.890180016E1,3.521661778E1
2.603515531E0,7.417599678E0,1.871479988E1,-2.886520004E1,3.519182139E1
2.613515531E0,7.417599678E0,1.875139999E1,-2.888959885E1,3.523130296E1
2.623515531E0,7.454199791E0,1.875139999E1,-2.888959885E1,3.523902691E1
2.633515531E0,7.441999912E0,1.875139999E1,-2.885299873E1,3.520644686E1
2.643515531E0,7.393199921E0,1.878800011E1,-2.884079933E1,3.520568220E1
2.653515531E0,7.429800034E0,1.883679962E1,-2.882859993E1,3.522946384E1
2.663515531E0,7.441999912E0,1.888559914E1,-2.887739944E1,3.529806533E1
2.673515531E0,7.393199921E0,1.883679962E1,-2.881639862E1,3.521177721E1
2.683515531E0,7.417599678E0,1.889780045E1,-2.882859993E1,3.525954935E1
2.693515531E0,7.441999912E0,1.889780045E1,-2.887739944E1,3.530459493E1
2.703515531E0,7.417599678E0,1.889780045E1,-2.887739944E1,3.529945956E1
2.713515531E0,7.405399799E0,1.890999985E1,-2.881639862E1,3.525355117E1
2.723515531E0,7.429800034E0,1.893440056E1,-2.886520004E1,3.531165851E1
2.733515531E0,7.405399799E0,1.895879936E1,-2.890180016E1,3.534954132E1
2.743515531E0,7.405399799E0,1.892219925E1,-2.886520004E1,3.529999071E1
2.753515531E0,7.429800034E0,1.894659996E1,-2.881639862E1,3.527832774E1
2.763515531E0,7.441999912E0,1.892219925E1,-2.877979851E1,3.523790274E1
2.773515531E0,7.417599678E0,1.895879936E1,-2.871879959E1,3.520264632E1
2.783515531E0,7.429800034E0,1.898320007E1,-2.869439888E1,3.519847071E1
2.793515531E0,7.478600025E0,1.897099876E1,-2.873099899E1,3.523206715E1
2.803515531E0,7.478600025E0,1.893440056E1,-2.864559937E1,3.514272821E1
2.813515531E0,7.466399670E0,1.890999985E1,-2.860899925E1,3.509715169E1
2.823515531E0,7.417599678E0,1.890999985E1,-2.858459854E1,3.506690966E1
2.833515531E0,7.417599678E0,1.888559914E1,-2.864559937E1,3.510351838E1
2.843515531E0,7.381000042E0,1.882460022E1,-2.867000008E1,3.508295369E1
2.853515531E0,7.344399929E0,1.878800011E1,-2.867000008E1,3.505564238E1
2.863515531E0,7.258999825E0,1.873920059E1,-2.864559937E1,3.499172874E1
2.873515531E0,7.185800076E0,1.872699928E1,-2.869439888E1,3.501006644E1
2.883515531E0,7.112599850E0,1.872699928E1,-2.874320030E1,3.503514153E1
2.893515531E0,7.051599979E0,1.875139999E1,-2.884079933E1,3.511597600E1
2.903515531E0,7.075999737E0,1.875139999E1,-2.882859993E1,3.511086652E1
2.913515531E0,7.014999866E0,1.873920059E1,-2.886520004E1,3.512218153E1
2.923515531E0,7.014999866E0,1.877579880E1,-2.885299873E1,3.513170049E1
2.933515531E0,7.014999866E0,1.877579880E1,-2.890180016E1,3.517179119E1
2.943515531E0,7.075999737E0,1.882460022E1,-2.890180016E1,3.521007523E1
2.953515531E0,7.100399971E0,1.886120033E1,-2.885299873E1,3.519454636E1
2.963515531E0,7.112599850E0,1.888559914E1,-2.887739944E1,3.523008842E1
2.973515531E0,7.149199963E0,1.887339973E1,-2.885299873E1,3.521096155E1
2.983515531E0,7.161399841E0,1.888559914E1,-2.886520004E1,3.522997695E1
2.993515531E0,7.173599720E0,1.892219925E1,-2.877979851E1,3.518219663E1
3.003515531E0,7.185800076E0,1.892219925E1,-2.880419922E1,3.520464799E1
3.013515531E0,7.222399712E0,1.893440056E1,-2.877979851E1,3.519874123E1
3.023515531E0,7.222399712E0,1.895879936E1,-2.877979851E1,3.521187205E1
3.033515531E0,7.210199833E0,1.892219925E1,-2.881639862E1,3.521961720E1
3.043515531E0,7.246799946E0,1.893440056E1,-2.879199982E1,3.521373152E1
3.053515531E0,7.258999825E0,1.898320007E1,-2.875539970E1,3.521261103E1
3.063515531E0,7.197999954E0,1.903199959E1,-2.870660019E1,3.518660407E1
3.073515531E0,7.210199833E0,1.908079910E1,-2.875539970E1,3.525531007E1
